,sentence
3560,Eerste ‘paepenwoeninge’ Een akte uit 1353 sprak voor het eerst over een ’paepenwoeninge ten Westende van der kerke van Doerne’.
3561,"Bouwvallig Tijdens de Franse periode werd de pastorie in beslag genomen, waarna ze in bouwvallige staat in handen van de gemeente kwam."
3562,Ze waren verspreid over een zeventiental vrouwen- en een twaalftal mannenkloosters.
3563,Antwerpen wilde zich profileren als katholieke stad en toonde zich erg gastvrij voor al die nieuwe ordes.
3564,Annuntiaten In 1608 verhuisden acht zusters annuntiaten vanuit Leuven naar Antwerpen.
3565,Zij behoorden tot een contemplatieve orde van franciscaanse inspiratie die zich vooral bezig hield met de overdenking en beoefening van de tien deugden van Maria.
3566,De dag ervoor hadden zij hetzelfde gedaan voor de kloosterkerk van de augustijnen in de Kammenstraat.
3567,Daarom kwamen ze in het geheim in kleine groepjes samen in het huis van een van de leden.
3568,De Brabantse Olijfberg was de schuilnaam voor zo’n groepering en werd voor het eerst vermeld in 1652.
3569,Het ontwerp werd in het verleden vaak onterecht toegeschreven aan Wenceslas Coeberger.
3570,Na de afschaffing van de contemplatieve orden in 1781 door Jozef II deden de gebouwen achtereenvolgens dienst als paardenstal en militaire bakkerij.
3571,"In 1798 werd het complex te koop aangeboden, maar voor de kerk werd geen koper gevonden."
3572,Niet veel later brak er een brand uit die de toren en het dak volledig verwoestte.
3573,Terug naar de protestanten In 1819 stond koning Willem I de zwaar beschadigde kerk af aan de protestantse gemeenschap.
3574,"Ze werd gerestaureerd, heringericht als protestantse kerk, en in 1821 ingewijd."
3575,De voorziene siertoren werd op het laatste moment vervangen door het klokkenhuis op de gevel.
3576,Het kerkgebouw biedt sinds dan onderdak aan diverse Antwerpse protestantse geloofsgemeenschappen.
3577,"Recente renovatie Haar huidig uitzicht dankt de kerk aan een restauratie uit 1901 op initiatief van de Duitstalige protestantse gemeenschap, onder leiding van architect Frans Van Dijk."
3578,Het interieur werd volledig verbouwd en aangepast aan de smaak van de Lutherse geloofsgemeenschap.
3579,Boven- en benedenkerk De kerk werd voltooid in 1620 en bestond uit een bovenkerk voor de slotzusters en een publieke benedenkerk.
3580,"Hét nieuws van 't stad Er zijn geen items beschikbaar voor dit kanaal Om verder te gaan, dient u JavaScript te activeren."
3581,Museum Snijders&Rockoxhuis Beroemde bewoners Het museum bestaat uit twee woningen die in de 17 de eeuw bewoond werden door vooraanstaande Antwerpse burgers.
3582,Buitenburgemeester Nicolaas Rockox en zijn echtgenote Adriana Perez kochten in 1603 ‘Den Gulden Rinck’ van een Duitse koopman.
3583,"Wanneer kunstschilder Frans Snijders in 1620 het naastliggende huis ‘De Fortuyne’ aankocht, werden de twee gedurende 20 jaar buren."
3584,In deze hoedanigheid vertegenwoordigde hij de stad bij de hogere overheden en was hij hoofd van de militie en de schuttersgilden.
3585,"Rockox was humanist  , oudheidkundige, numismaat  , kunstverzamelaar en mecenas  ."
3586,Kort na de aanschaf van ‘Den Gulden Rinck’ kocht Rockox ook het naastliggend huis.
3587,"Hij liet de 16 de -eeuwse panden verbouwen en voegde er een kunstkamer en een stadstuin aan toe, die hij beplantte met exquise en exotische planten."
3588,"Er stonden ook citrusboompjes, bijzonder dure planten in de 17 de eeuw."
3589,Het resultaat van Rockox aanpassingen was een riant renaissancistisch stadspaleis.
3590,Afkondiging Twaalfjarig bestand Nicolaas Rockox was buitenburgemeester van Antwerpen op het moment dat het Twaalfjarig bestand (1609-1621) werd ondertekend.
3591,Dit luidde een periode van wapenstilstand in tijdens de Tachtigjarige Oorlog (1568-1648).
3592,"Tijdens dit conflict kwamen de Nederlanden, onder leiding van Willem van Oranje, in opstand tegen het Spaanse Rijk onder koning Filips II."
3593,"Hij was gehuwd met Margriete de Vos, zus van de schilders Paul en Cornelis de Vos."
3594,"Op het moment dat hij in de Keizerstraat kwam wonen, was hij al een gevestigd kunstenaar."
3595,"Zijn woning bestond uit een hoofdgebouw met oorspronkelijk drie trapgevels, een portiek, een bijgebouw en een binnenplein."
3596,Van patriciërswoning naar museum De panden veranderden in de loop der jaren meermaals van eigenaar.
3597,"In 1949 kwam het Rockoxhuis in handen van het Artiestenfonds, een vereniging voor noodlijdende kunstenaars."
3598,Het gebouw werd ingericht als museum dat vooral neostijlen vertegenwoordigde.
3599,In de jaren 1970 werden ze allebei gerestaureerd door de KBC Bank die de woningen had overgekocht van het Artiestenfonds.
3600,Diverse ruimten in het Snijdershuis fungeerden als polyvalente ruimten voor de bank.
3601,"Museum Snijders&Rockoxhuis  Keizerstraat 10, 2000 Antwerpen Keizerlijke wandeling Bezoek & info Ticket reserveren 1609 Afkondiging Twaalfjarig bestand Nicolaas Rockox was buitenburgemeester van Antwerpen op het moment dat het Twaalfjarig bestand (1609-1621) werd ondertekend."
3602,Beroemde bewoners Het museum bestaat uit twee woningen die in de 17 de eeuw bewoond werden door vooraanstaande Antwerpse burgers.
3603,"Snijders Frans Snijders (1579-1657) is vooral gekend als schilder van stillevens, jachttaferelen en dierstukken."
3604,"Iedereen moet de informatie op antwerpen.be eenvoudig kunnen gebruiken en bekijken, dus ook slechtzienden, blinden, slechthorenden, doven en personen met een andere beperking."
3605,De inhoud valt buiten de werkingssfeer van de toepasselijke wetgeving De inhoud van kaarten zoals de parkeerzones.
3606,Zowel voor smartphones en tablets als voor desktop en laptop zorg je er het best voor dat je over de meest recente software-update beschikt van het besturingssysteem.
3607,Onze medewerkers worden ondersteund en aangespoord om hun kennis over toegankelijkheid up-to-date te houden en te vergroten.
3608,Wij engageren ons om een toegankelijke versie te bezorgen binnen de 7 werkdagen.
3609,We streven ernaar om je een antwoord te bezorgen binnen de 7 werkdagen.
3610,"De ombudsvrouw behandelt je melding als je uitgepraat bent met de stad, dus nadat je eerst je probleem hebt voorgelegd aan de stad zelf."
3611,This impressive boulevard is predominantly home to international chains.
3612,They display their collections or products like works of art in beautiful 18th and 19th-century rococo buildings.
3613,"Without a doubt Meir is thé most popular shopping street in Antwerp, which means that virtually every shop is well frequented."
3614,"The Meir borders De Keyserlei, a lively street particularly popular with tourists."
3615,"You will also find the renovated Antwerp Tower, a landmark offering many possibilities."
3616,"The Century Center on De Keyserlei is currently under renovation, and once finished it will offer ample opportunity for offices and retail outlets."
3617,On the first part of the Meir you will find the exclusive shopping centre Shopping Stadsfeestzaal with room for all kinds of businesses around the beautifully restored entrance hall.
3618,"A little further away you will find the Wapper, a square in the middle of the Meir Boulevard with a view to the entrance of the historic Rubens House."
3619,"Further down in the direction of Groenplaats, shoppers can visit the Grand Bazar Shopping Center."
3620,"Among which the Boerentoren, Meir Corner, and Jezusstraat that will undergo considerable development."
3621,"The extra influx of students is guaranteed by the project development of campuses, adding an extra dynamic in the neighbourhood."
3622,"Om deze merkstrategie waar te maken, gaan we actief voor elke doelgroep op zoek naar relevante verhalen, projecten en producten."
3623,"Waterpoort Triomfboog Ferdinand van Oostenrijk was de jongere broer van Filips IV, die sinds 1621 koning van Spanje was."
3624,"De Waterpoort, opgericht in 1624 en opgevat als een triomfboog, was een hulde aan deze vorst."
3625,"Ze maakte deel uit van de Spaanse omwalling en stond aan de Schelde, op het einde van de Vlasmarkt, ingebouwd tussen de twee gevelwanden."
3626,Het ontwerp wordt op basis van stilistische en vormelijke aanwijzingen toegeschreven aan Rubens.
3627,Het beeldhouwwerk werd uitgevoerd door Huybrecht van den Eynde (1594-1661) en Hans van Mildert (1585-1638).
3628,Weelderig gedecoreerd De Scheldezijde van de poort heeft een gesloten en robuust karakter.
3629,"In zijn rechterhand heeft hij een hoorn des overvloeds, in de linker een kruik waaruit water stroomt, een verwijzing naar de Schelde."
3630,"De Booms, die ze in de tijd van Karel heeft getorst, Draagt ze eens op Uw wenk, Philippus, grote vorst, De Raad en het volk van Antwerpen hebben dit gebouw ingewijd 15 april 1624."
3631,"Op de inscriptieplaat boven de doorgang staat dat de koninklijke poort werd opgericht tot verdediging en verfraaiing van de stad, in 1624, onder de burgemeesters Jan Happart en Karel de Mere, en de schatkistbewaarders Jan Roose, Reinold Hugens en Adam Leermans."
3632,De heraldische leeuwen erboven dragen het gekroonde Habsburgse wapenschild.
3633,Aan de poort grensde een pagaddertoren die vanuit de poort toegankelijk was.
3634,"Het poortgebouw was toegankelijk via twee deuren aan de stadszijde, aan weerszijden van de poortdoorgang."
3635,Voor deze viering werd Rubens gevraagd om voor de decoraties te zorgen.
3636,"De taferelen waren een mengeling van verheerlijking van het Habsburgse geslacht en mythologische scenes, maar ook van sociale kritiek."
3637,De zijkanten kregen een afwerking die vormelijk overeen kwam met de rest van de poort.
3638,Tegelijkertijd werden zowel de sokkel als de onderbouw van de poort opgehoogd.
3639,"In 1884 werd het gebouw als woning toegewezen aan hoofdsluizenier van de ruien, Corneel Hendrickx."
3640,"Wanneer in 1931 werd beslist dat het toegangsgebouw voor de voetgangerstunnel op de Sint-Jansvliet kwam, werd de poort opnieuw gedemonteerd."
3641,Na enkel jaren in een stadsmagazijn werd ze in 1936 heropgebouwd op de Gillisplaats.
3642,Bij de laatste verplaatsing werden de vloeren in gewapend beton uitgevoerd en werden moderne nutsvoorzieningen en sanitair toegevoegd.
3643,Enige nog zichtbare stadspoort De Waterpoort is de enige bewaard gebleven toegangspoort van de talrijke stadspoorten die Antwerpen in de loop van haar geschiedenis rijk was.
3644,"Triomfboog Ferdinand van Oostenrijk was de jongere broer van Filips IV, die sinds 1621 koning van Spanje was."
3645,De wandelende poort Op het einde van de 19 de eeuw stond de poort in de weg voor de geplande rechttrekking van de Scheldekaaien.
3646,De gevels aan de binnenkoer en de tuin waren bekleed met blauwe hardsteen en voorzien van bepleisterde vlakken gedecoreerd met trompe l’oeilschilderingen  .
3647,De monumentale straatgevel contrasteerde met de bestaande gevel in bak- en zandsteenstijl.
3648,Verbouwingen Vermoedelijk behield de woning tot het midden van de 18 de eeuw haar oorspronkelijk uitzicht.
3649,Daarna kwam ze in het bezit van de familie De Bosschaert van 1763 tot 1937.
3650,De gevels aan de straatzijde werden afgebroken en herbouwd volgens de toenmalige architecturale smaak.
3651,Ook het woonhuis werd grotendeels gesloopt en vervangen door nieuwbouw.
3652,Voor 1824 werd het pand in twee woningen opgedeeld en geleidelijk raakte ook de hele tuin bebouwd.
3653,Van het originele ontwerp van Rubens bleven enkel de portiek en het tuinpaviljoen bewaard.
3654,Antwerpenaars kregen toegang tot de collectie van de Academie In 1843 bouwde Bourla in de tuin van de Academie een museum in de vorm van een Griekse tempel om de kunstcollectie in onder te brengen.
3655,"Omdat de verzameling bleef groeien, bouwde men op het Zuid een nieuw Museum voor Schone Kunsten."
3656,In 1876 kocht ze de voormalige woning en drukkerij van Christoffel Plantijn om ze een jaar later als museum te openen.
3657,Emiel van Averbeke kreeg de opdracht het pand te restaureren naar de 17 de -eeuwse situatie.
3658,Hij kon zich slechts baseren op drie 17 de -eeuwse afbeeldingen en de herinneringen van François Mols in de vorm van een beschrijving en een plattegrond.
3659,Mols had het pand bezocht voor de verbouwing door de familie De Bosschaert.
3660,"Om deze beperkte informatie aan te vullen, deed van Averbeke bijkomend onderzoek naar de bouwsporen die bij de afbraak van de latere toevoegingen zichtbaar werden."
3661,Het eindresultaat was dan ook eerder een evocatie dan een reconstructie.
3662,Interessant omdat het complex vooral een getuigenis van de vroeg 20 ste -eeuwse visie op monumentenzorg is.
3663,"De inrichting van het interieur gebeurde op basis van afbeeldingen, boedelbeschrijvingen en genreschilderijen van vergelijkbare voorname panden."
3664,Met allerlei recuperatiematerialen werd een interieur passend bij de rang en stand van Rubens gecreëerd.
3665,Voor de evocatie van de vroeg 17 de -eeuwse tuin werd gebruikgemaakt van Rubens’ schilderij ‘Wandeling in de tuin’ en botanische werken uit die tijd.
3666,Plannen voor de 21 ste eeuw In 2017 werd een masterplan uitgewerkt om het Rubenshuis en het Rubenianum aan te passen aan de hedendaagse noden.
3667,"Rubenshuis  Wapper 9-11, 2000 Antwerpen Bezoek & info 1804 Antwerpenaars kregen toegang tot de collectie van de Academie In 1843 bouwde Bourla in de tuin van de Academie een museum in de vorm van een Griekse tempel om de kunstcollectie in onder te brengen."
3668,Stadspatrimonium en vroeg 20 ste -eeuwse restauratie In 1937 werd het Rubenshuis eigendom van de stad.
3669,"Deze brainstormsessie wordt begeleid door ervaren medewerkers, zodat we er het maximum kunnen uithalen."
3670,"In de tweede sessie leg je de plannen op tafel en ga je in debat met schepen Koen Kennis — zijn kabinet is verantwoordelijk voor middenstand, inclusief de mensen die werken in de horeca en het nachtleven."
3671,Dit is hét moment om je stem te laten horen en de schepen te inspireren over wat leeft bij jongeren in het Antwerpse nachtleven.
3672,"Wil jij meewerken aan een beter, leuker, spannender en veiliger nachtleven in Antwerpen?"
3673,Kom dan naar de twee Take Over sessies waar je samen met andere jongeren nadenkt over de toekomst van het Antwerpse nachtleven.
3674,"Kom naar Take Over nachtleven! ""Dit resultaat is ronduit problematisch."
3675,"Het blijkt dat vooral +18 jarigen dit een goed idee vinden, minderjarigen vinden dit echter een minder goed idee."" ""Dat is op zich al best goed nieuws, maar we streven er naar dat ie-de-reen kan dragen wat 'ie wilt."" Jouw mening Van juni t.e.m. september kon je als jongere (-30 jaar) je mening geven over het Antwerpse nachtleven."
